日付け,終値,始値,高値,安値,前日比%
2021年4月19日,1.3983,1.3827,1.3994,1.3809,1.11%
2021年4月16日,1.383,1.3784,1.3844,1.3716,0.32%
2021年4月15日,1.3786,1.378,1.3809,1.3762,0.06%
2021年4月14日,1.3778,1.3749,1.3809,1.3748,0.22%
2021年4月13日,1.3748,1.374,1.377,1.3694,0.06%
2021年4月12日,1.374,1.371,1.3778,1.3669,0.23%
2021年4月9日,1.3708,1.3734,1.3751,1.367,-0.18%
2021年4月8日,1.3733,1.3736,1.3783,1.3719,-0.01%
2021年4月7日,1.3734,1.3825,1.3841,1.3723,-0.64%
2021年4月6日,1.3823,1.3902,1.392,1.3801,-0.53%
2021年4月5日,1.3897,1.3827,1.3915,1.3813,0.49%
2021年4月2日,1.3829,1.3833,1.3854,1.3813,-0.01%
2021年4月1日,1.383,1.3781,1.3837,1.3745,0.37%
2021年3月31日,1.3779,1.374,1.3813,1.3715,0.29%
2021年3月30日,1.3739,1.3763,1.3785,1.3706,-0.15%
2021年3月29日,1.3759,1.3793,1.3848,1.3756,-0.20%
2021年3月26日,1.3787,1.3731,1.3814,1.3728,0.40%
2021年3月25日,1.3732,1.3687,1.3747,1.367,0.36%
2021年3月24日,1.3683,1.3752,1.3762,1.3673,-0.49%
2021年3月23日,1.375,1.3863,1.3868,1.374,-0.82%
2021年3月22日,1.3863,1.3866,1.3878,1.3817,-0.04%
2021年3月19日,1.3868,1.3924,1.3959,1.383,-0.37%
2021年3月18日,1.392,1.3968,1.4002,1.3896,-0.31%
2021年3月17日,1.3963,1.389,1.3972,1.3851,0.55%
2021年3月16日,1.3887,1.3899,1.3908,1.3808,-0.04%
2021年3月15日,1.3893,1.392,1.3951,1.3851,-0.21%
2021年3月12日,1.3922,1.3989,1.4006,1.3863,-0.49%
2021年3月11日,1.399,1.3934,1.3995,1.3917,0.43%
2021年3月10日,1.393,1.3893,1.3939,1.3845,0.27%
2021年3月9日,1.3893,1.3827,1.3927,1.3801,0.50%
2021年3月8日,1.3824,1.3837,1.3866,1.38,-0.12%
2021年3月5日,1.3841,1.3896,1.3908,1.3779,-0.38%
2021年3月4日,1.3894,1.3954,1.4017,1.3879,-0.42%
2021年3月3日,1.3953,1.3953,1.4008,1.392,0.00%
2021年3月2日,1.3953,1.3923,1.3978,1.3858,0.22%
2021年3月1日,1.3922,1.3939,1.4,1.3903,-0.07%
2021年2月26日,1.3932,1.4015,1.4028,1.3887,-0.58%
2021年2月25日,1.4013,1.4136,1.4182,1.4,-0.89%
2021年2月24日,1.4139,1.411,1.4237,1.4081,0.21%
2021年2月23日,1.411,1.4063,1.4117,1.4054,0.35%
2021年2月22日,1.4061,1.4015,1.4087,1.398,0.34%
2021年2月19日,1.4014,1.3975,1.4037,1.3951,0.31%
2021年2月18日,1.3971,1.3853,1.3987,1.3839,0.85%
2021年2月17日,1.3853,1.3902,1.3912,1.3829,-0.35%
2021年2月16日,1.3901,1.3903,1.3952,1.3868,-0.01%
2021年2月15日,1.3903,1.3846,1.392,1.3846,0.43%
2021年2月12日,1.3844,1.3816,1.3864,1.3774,0.21%
2021年2月11日,1.3815,1.3832,1.386,1.38,-0.09%
2021年2月10日,1.3828,1.3816,1.3867,1.3802,0.10%
2021年2月9日,1.3814,1.3741,1.3821,1.3736,0.55%
2021年2月8日,1.3738,1.3729,1.375,1.368,0.04%
2021年2月5日,1.3733,1.3672,1.3742,1.366,0.46%
2021年2月4日,1.367,1.3646,1.3699,1.3566,0.19%
2021年2月3日,1.3644,1.3667,1.3685,1.3619,-0.15%
2021年2月2日,1.3665,1.3664,1.3712,1.3611,0.03%
2021年2月1日,1.3661,1.3713,1.3759,1.3656,-0.30%
2021年1月29日,1.3702,1.3721,1.3752,1.3657,-0.12%
2021年1月28日,1.3718,1.3688,1.3747,1.3629,0.23%
2021年1月27日,1.3686,1.3736,1.3761,1.3658,-0.34%
2021年1月26日,1.3733,1.3674,1.3745,1.3609,0.43%
2021年1月25日,1.3674,1.368,1.3725,1.3649,-0.07%
2021年1月22日,1.3684,1.3733,1.3738,1.3635,-0.35%
